Date, Open, High, Low, Close
12/29/2017,24849.63,24871.66,24719.22,24719.22
1/2/2018,24809.35,24864.19,24741.7,24824.01
1/3/2018,24850.45,24941.92,24825.55,24922.68
1/4/2018,24964.86,25105.96,24963.27,25075.13
1/5/2018,25114.92,25299.79,25112.01,25295.87
1/8/2018,25308.4,25311.99,25235.41,25283
1/9/2018,25312.05,25439.78,25308.41,25385.8
1/10/2018,25348.13,25404.92,25256.99,25369.13
1/11/2018,25398.6,25575.42,25396.19,25574.73
1/12/2018,25638.39,25810.43,25633.08,25803.19
1/16/2018,25987.62,26086.12,25702.99,25792.86
1/17/2018,25910.78,26130.45,25865.02,26115.65
1/18/2018,26149.55,26153.42,25947.32,26017.81
1/19/2018,25987.35,26071.72,25942.83,26071.72
1/22/2018,26025.32,26215.23,25974.65,26214.6
1/23/2018,26214.87,26246.19,26143.9,26210.81
1/24/2018,26282.07,26392.8,26106.94,26252.12
1/25/2018,26313.06,26458.25,26259.72,26392.79
1/26/2018,26466.74,26616.71,26425.35,26616.71
1/29/2018,26584.28,26608.9,26435.34,26439.48
1/30/2018,26198.45,26256.99,26028.42,26076.89
1/31/2018,26268.17,26338.03,26050.98,26149.39
2/1/2018,26083.04,26306.7,26014.44,26186.71
2/2/2018,26061.79,26061.79,25490.66,25520.96
2/5/2018,25337.87,25520.53,23923.88,24345.75
2/6/2018,24085.17,24946.23,23778.74,24912.77
2/7/2018,24892.87,25293.96,24785.44,24893.35
2/8/2018,24902.3,24903.68,23849.23,23860.46
2/9/2018,23992.67,24382.14,23360.29,24190.9
2/12/2018,24337.76,24765.16,24290.48,24601.27
2/13/2018,24540.33,24705.72,24421.03,24640.45
2/14/2018,24535.82,24925.95,24490.36,24893.49
2/15/2018,25047.82,25203.95,24809.42,25200.37
2/16/2018,25165.94,25432.42,25149.26,25219.38
2/19/2018,25219.38,25219.38,25219.38,25219.38
2/20/2018,25124.91,25179.01,24884.19,24964.75
2/21/2018,24988.06,25267.99,24792.99,24797.78
2/22/2018,24855.41,25156.72,24854.83,24962.48
2/23/2018,25050.51,25313.91,25028.73,25309.99
2/26/2018,25403.35,25732.8,25398.56,25709.27
2/27/2018,25735.78,25800.35,25407.83,25410.03
2/28/2018,25485.15,25576.15,25022.42,25029.2
3/1/2018,25024.04,25185.35,24442.56,24608.98
3/2/2018,24394.91,24592.46,24217.76,24538.06
3/5/2018,24471.31,24961,24387.15,24874.76
3/6/2018,24965.89,24995.24,24708.41,24884.12
3/7/2018,24758.15,24849.68,24535.12,24801.36
3/8/2018,24853.41,24950.49,24703.05,24895.21
3/9/2018,25004.89,25336.33,25004.89,25335.74
3/12/2018,25372.44,25449.15,25152.02,25178.61
3/13/2018,25257.75,25376.4,24947.5,25007.03
3/14/2018,25086.97,25130.12,24668.83,24758.12
3/15/2018,24837.29,25053.87,24753.29,24873.66
3/16/2018,24877.34,25031,24857.09,24946.51
3/19/2018,24893.69,24893.69,24453.14,24610.91
3/20/2018,24650.64,24803.61,24650.64,24727.27
